title,image_url,difficulty,timecost,ingredient,cookstep
[10분반찬] 두부참치전 : 담백하고 촉촉하니 하나씩 집어먹기 좋아요~,https://recipe1.ezmember.co.kr/cache/recipe/2020/04/22/eb83dc30db90a31ff60d74ac78f3f2161.jpg,아무나,10분 이내,참치>두부>달걀>밀가루>식용유>소금>청양고추>부추(or깻잎)>,"재료를 한자리에 준비해주세요.>부추와 청양고추는 잘게 썰어주세요. 
두부는 물기를 절반 정도 빼서 으깨주세요. 
참치는 기름기를 빼주세요.부추 대신 깻잎을 사용하셔도 좋습니다. 
참고로, 달걀은 1개를 사용했는데 쌍란이 나와서 노른자가 2개네요^^ >준비된 재료를 잘 섞어주면서 소금 간을 해주세요.>팬에 식용유를 두른 후 먹기 좋은 크기로 반죽을 떠서 올려주세요.>중불에서 한 면당 2~3분씩 노릇하게 구워주세요.>총 16개 나왔네요. 
담백하고 고소한 참치두부전~
맛있게 드세요.>"
아삭한 식감이 매력적인 단짠 반찬 마늘종 볶음,https://recipe1.ezmember.co.kr/cache/recipe/2020/11/10/4fd5af46a14810c45f8a0d69b9c957d21.png,아무나,10분 이내,마늘종>대파>양파>다진마늘>식용유>통깨>참기름>진간장>올리고당>,"재료를 손질해 주세요.
- 양파는 채썰어 준비해주세요.
- 마늘종은 4~5cm로 먹기 좋은 크기로 잘라주세요.
- 대파는 총총 썰어 준비해주세요.>프라이팬에 식용유 2T를 두르고 손질한 대파를 넣은 뒤 파기름을 만들어 주세요.중간 불대파 표면이 노릇해질 정도로 볶아주세요.>만들어진 파기름에 채썰은 양파를 넣고 30초 정도 볶아 파기름을 입혀줍니다.중간 불>볶아진 양파에 마늘종을 넣고 30초 정도 볶아주세요.중간 불>볶아진 양파와 마늘종에 다진 마늘을 넣고 30초 정도 골고루 볶아주세요.중간 불>프라이팬 가장자리나 가운데에 공간을 비워두고 진간장 2T를 2번에 나눠 부운 뒤 재료와 골고루 섞어가며 30초 정도 볶아주세요.중간 불간장을 조리듯이 끓이다가 양이 반으로 줄었을 때 재료와 섞어서 볶아주세요.>간장에 볶아진 재료에 올리고당 1T를 넣고 골고루 어우러지도록 30초 정도 볶아줍니다.약한 불>불을 끄고 참기름 1/2T를 두르고 통깨를 뿌려 마무리해줍니다.>먹기 좋은 그릇에 담으면 아삭한 식감이 매력적인 단짠 매력 반찬 마늘종 볶음이 완성됩니다.>"
짭쪼름하고 쫄깃해 입맛살리는 양념꼬막만들기,https://recipe1.ezmember.co.kr/cache/recipe/2015/03/25/8ebe7082d056d01d2142c51df05fca301.jpg,초급,30분 이내,꼬막>굵은>고춧가루>간장>참기름>생강즙>설탕>다진마늘>다진>다진>다진>참깨>,"벌교꼬막..그러니깐 참꼬막이 아니라면 저처럼 새꼬막의 경우에는 껍질이 조금 깨끗한 편이랍니다. 그래도 깨끗히 씻어내야겠지요. 흐르는 물에 굵은 소금을 조금 넣고 박박 문질러 껍질에 묻어있는 이물질을 제거해 주세요. 참고로 꼬막끼리 서로 문질러 씻어내면 훨씬 깨끗해져요.>씻어낸 꼬막은 끓는 물에 넣은 후 굵은 소금 약간을 넣어 데쳐주시는데요. 이 때 한쪽 방향으로 저어가며 데쳐주셔서 껍질의 한쪽으로 꼬막살이 쏠려 먹기가 편해요^^ 꼬막의 입이 벌어지기 시작하면 다~ 익은거랍니다. 전.. 아직 날이 많이 차가운 것이 아니라서 혹시나 하는 마음에 조금 더 오래 삶아주었어요. 꼬막의 대부분이 입을 벌릴 때까지~>생각했던 것보다 꼬막살이 토실토실하더라구요^^ 양념꼬막으로 만들어 먹을 꼬막은 2/3가량 한쪽 껍질만 제거해주고.. 나머지 1/3의 꼬막은 된장국에 넣으려고 살만 발라냈어요.>[꼬막양념장 만들기] 
고춧가루 1/2큰술, 간장 3큰술, 참기름 1/2큰술, 생강즙 1/2큰술, 설탕 1/2작은술, 다진마늘 1/2작은술, 다진 홍고추 1/2큰술, 다진 부추 1큰술, 다진양파 1큰술 그리고 참깨 분량의 양념을 섞어주세요. 
홍고추, 부추, 다진마늘은 잘게 다져줍니다.>이대로~ 뜨끈한 밥위에 올려 쓱싹 비벼 먹어도 너무 맛있어요^^ 음... 콩나물밥의 양념으로도 좋겠지요. 만능양념장이네요^^>꼬막위에 적당량의 양념장을 올려 맛을 내 줍니다.>먹기 좋게 꼬막살만 발라 양념장에 찍어 드셔도 좋고 조물조물 무쳐드셔도 좋지만 역시 양념꼬막은 이렇게 껍질째 들고 후루룩~ 해주어야 제 맛이지요^^>"
[술안주 끝판왕] 항정살조림! 10분안에 끝!,https://recipe1.ezmember.co.kr/cache/recipe/2019/10/21/0911a7fb85fae8e9ec6d3c31d413a9081.jpg,아무나,10분 이내,항정살>양파>영양부추>마늘>볶은깨>참기름>간장>맛술>올리고당>물>굴소스>,"간장, 맛술, 올리고당, 물, 굴소스를 섞어 양념을 만들어주세요.>양파는 얇게 채썰어 찬물에 담가 매운맛을 제거해주세요.>영양부추를 5cm 길이로 잘라주세요.>팬을 달군 후 항정살을 구워주세요.>노릇하게 구워지면 양념을 넣고 졸여주세요.>그릇에 항정살 조림을 담아주시고 옆에 양파와 부추를 곁들여주세요.>항정살에 참기름과 볶은 깨를 뿌려 완성시켜주세요.>"
촉촉한 닭가슴살완자 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/10/8a70652234bfab22831076ca9d8742b31.jpg,초급,30분 이내,닭가슴살>양파>당근>파>계란>밀가루>소금>후추>다진마늘>,"양파 당근 파 썰어서 넣어 주세요 기호에 따라 고추도 송송>닭가슴살을 칼로 다져주세요>마늘 한 스푼, 후추 소금을 넣어 주세요>계란 두알을 넣어 주세요>밀가루 1큰술~ 2큰술 정도 넣어주세요>반죽이 완성 됐어요>달군 후라이팬에 기름을 두르고 구워주세요>간장에 콕 찍어먹음 더 맛있어요
간장식초 5:1 양파, 고추 송송>"
가지말이 샐러드 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/24/a5c11f305402da20f9aa5a491ccc547e1.jpg,초급,30분 이내,가지>닭가슴살>파프리카>새싹채소>올리브유>간장>다진>후춧가루>소금>통깨>,"가지는 약0.5cm 두께로 슬라이스 해주세요. 채칼을 사용해도 되구요.>파프리카는 길게 채썰어주세요.>닭가슴살은 훈제닭가슴살을 이용하거나 익혀서 잘라주세요.>후라이팬에 기름을 두르지 않고 슬라이스한 가지를 구워주세요.>구운 가지 위에 파프리카, 훈제닭가슴살, 새싹샐러드를 올려 돌돌 알아주면되요.>샐러드 소스 분량대로 만들어 찍어먹어도 되고 간편하게 가지말이샐러드 위에 뿌려 나가도 된답니다.>"
동글동글 귀여운 문어모양 핫도그 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2018/07/06/967c2c4ccd83e2a47fc46b0dc503091e1.jpg,아무나,30분 이내,핫케이크가루>물또는우유>계란>체다치즈>돈가스소스>,"재료를 준비해주세요~.>비엔나소세지에 1cm만 남기고 +모양 칼집을 내주세요~.>핫케이크가루와 물또는 우유, 계란을 넣고 반죽을 만들어주세요~.>반죽은 되작하게 만들어주세요~.>꼬지에 칼집을 낸 비엔나소세지를 꽂아주세요~.>칼집을 안낸부분에 1차적으로 반죽을 뭍혀주세요~.>예열된 기름에 반죽을 뭍힌 부분만 중불에서 2분정도 튀겨주세요~.>2차적으로 반죽을 한번 더 뭍혀주세요~.>이번엔 통째로 기름에 넣고 중불에서 3분정도 튀겨주세요~.>노릇노릇하게 튀긴 문어핫도그는 키친타올에 받쳐 기름을 빼주세요~.>저는 체다치즈로 문어의 눈을 만들어주었어요~.>돈가스 소스로 눈을 찍어주면완성이랍니당~.>"
【맛있는 다이어트】초간단으로 닭가슴살 냉채 만들기~♥,https://recipe1.ezmember.co.kr/cache/recipe/2018/01/21/92332ad10977a71a63e4f5346c8e92bd1.jpg,아무나,15분 이내,닭가슴살>양파>오이>당근>파프리카(색깔별로)>겨자>양조간장>식초>설탕>매실액>다진마늘>,"닭가슴살은 집에 있는 향신료 넣고 속까지 익겠금 잘 삶아 주셔요~ 비린내가 나지않게 통후추,월계수잎,파뿌리,양파껍질,대파,마늘,생강 등등 아무거나 넣으시면 되셔요^^ 
(익혀진 닭가슴살캔 같은거는 이과정도 필요 없으니 더초간단~!)>야채는 냉장고 사정에 맞게 채썰어 주세요~ 오이하나,파프리카3개를(색깔별로)반개씩,양파반개,당근 2센티정도 준비했어요^^
맛살,깻잎,부추등등 있으신거 채썰어서 쪼름히 색깔별로 놓으심 되셔요^^>소스는 겨자(취향껏)1.5T,양조간장4T,식초4T,설탕1.5T,매실액1.5T,다진마늘1.5T넣었어요^^
(매실액기스는 설탕보다 왠지 살이 덜찔꺼 같아 넣었지만(ㅋㅋ) 생략가능 하구요~ 생략하실땐 설탕을 더넣어 주셔요~ 야채의 양이 틀리기 때문에 소스양은 맛을 보시면서 야채양에 따라 가감 해주세요~^^ 마늘은 다져진 마늘보다 통마늘을 바로 다져서 넣는게 더맛나용^^)>삶은 닭가슴살을 찢어서 올리고>소스 뿌리심 끝이에요^^
(배가 너무 고파서 사진 보시면 아시겠지만 정말 대충 채썰었거든요~ 오이도 씨부분 그대로~ 파프리카도 아래위 안자르고 그대로~ㅋㅋ 근데도 색감때문인지 보기엔 괜찮죠?!^^;;)
썰기만 하면 되는거니 완전 편하고 맛있어요^^>비닐장갑 끼고 조물조물 한다음 한입 먹음~! 겨자의 쏴~한맛에 새콤달콤 야채의 상큼한맛~! 엄지척~척~입니다ㅎㅎ>"
♥[신혼밥상] 닭가슴살 그라탕 한그릇,https://recipe1.ezmember.co.kr/cache/recipe/2020/06/16/486aecbde8816ccb58bc2334b69196961.jpg,초급,20분 이내,쌀밥>닭가슴살>양파>대파>다진마늘>모짜렐라치즈>체다슬라이스치즈>토마토스파게티소스>,"다진양파와 대파를 넣어주세요.>닭가슴살을 네모네모 썰어 넣고 기름을 빙빙 해주세요.>다진마늘 반숟가락을 넣고 양파가 투명해질 까지 중약불에서 달달 볶아주세요.>닭가슴살이 노릇노릇 익었을 때 밥 1공기를 넣어주세요.>(토마토,크림,로제 등)스파게티 소스를 크게 2큰술을 넣고 볶아주세요.>오븐 그릇에 잘 볶아진 밥을 담고 옥수수콘이 있어서 넣어 봤는데 없어도 괜찮아요.옥수수콘을 함께 넣어 볶아줘도 맛있어요.>모짜렐라 치즈 듬뿍 뿌려주세요.>체다슬라이스치즈도 살며시 올려주세요.>오븐기 속으로 180도 약 10분 정도 구워주거나 또는 전자레인지 4~5분 정도 데워주면 있어보이는 한그릇 식사 완성!전자레인지,오븐오븐기 성능마다 차이 있음~ 치즈가 노릇노릇 녹을 정도 적당!>"
집게리아 게살버거,https://recipe1.ezmember.co.kr/cache/recipe/2016/10/20/932256deae27ecd5299108d13d18e8bc1.jpg,아무나,30분 이내,크래미>모닝빵>양상추>마요네즈>빵가루>양파>옥수수>달걀>,"크래미를 잘게 찢어줍니다.>볼에 크래미, 양파, 빵가루, 옥수수, 달걀, 부침가루를 넣고 섞어줍니다.>치대주면서 모양을 동그랗게 만들어 줍니다.>빵가루를 묻혀줍니다.>모닝빵을 구워줍니다.>기름을 두르고 게살패티를 구워줍니다.>모닝빵에 마요네즈를 바르고 양상추를 올려줍니다.>패티를 올리고 토마토 소스를 바르고 다시 모닝빵을 올려 완성~!>"
[간단 자취요리] 미친 매운맛! 빨간오뎅 집에서 만들어 먹기! / Spicy fish cakes,https://recipe1.ezmember.co.kr/cache/recipe/2016/11/08/4b55327585e2e041530f515f8862352e1.jpg,아무나,30분 이내,어묵>물>고추>고추장>간장>설탕>다진마늘>,"재료를 준비합니다.어묵, 물, 고추, 고추장, 간장, 설탕, 다진마늘>고추 1개는 썰고, 1개는 다져줍니다. 다질 것은 씨를 제거해줍니다.>나머지 하나는 어슷 썰어주세요.>이제 꼬치에 어묵을 끼워줍니다. 저는 한 꼬치에 어묵을 2개씩 끼웠어요!>팬에 물과 양념들을 넣어줍니다.양념 재료 : 물, 고추장, 간장, 설탕, 다진마늘>꼬치에 끼운 어묵을 넣어줍니다.고루 뒤집어가며 조려줍니다.>어슷 썬 고추도 넣고 마저 조려주세요.>마무리로 다진 고추를 얹어주면 끝!>"
"[식빵요리]딸기쨈식빵쿠키,아이간식 만들기",https://recipe1.ezmember.co.kr/cache/recipe/2017/06/02/bd6ba1274f04c67767788aa2bdf494731.jpg,아무나,30분 이내,식빵>딸기쨈>,"[식빵요리]딸기잼식빵쿠키,아이간식 만들기>재료:식빵3장,딸기쨈6스푼 ,슈가파우터(없으면패스)
쿠키4개기준>식빵 3장을 모두 테두리를 제거해주세요.>3장중에 1장만 4등분을 한뒤 병뚜껑을 이용해서 가운데 구멍을 내줍니다.>이제 남은 식빵 2장은 밀대를 이용해서 납작하게 만들어 준뒤
2장을 모두 4등분해서 8개를 만들어주세요.>밀대로 밀어놓은 식빵에 딸기잼을 반스푼을 바른뒤>그위에 밀대로 밀어놓은 식빵으로 덮어줍니다.>그리고 구명을 내놨던 식빵을 위에 올려준뒤>구멍에 딸기잼을 한스푼 넣어주세요.>순서는
밀대로밀어놓은식빵-딸기잼1/2스푼-밀대로밀어놓은식빵-구멍낸식빵-딸기잼1스푼
순서로 모두 만들어주세요.>180도로 예열한 오븐에 10분정도 구워내줍니다.오븐>그냥 먹어도 맛있지만~
예쁘게 먹고싶어서 위에 슈가파우더를 조금 뿌려주었어요.
이렇게 해서 딸기잼식빵 쿠키가 완성이 되었어요.>"
"하트소시지, 하트비엔나 만들기 ",https://recipe1.ezmember.co.kr/cache/recipe/2017/03/20/776700ace31b33143807ceafcec46b391.jpg,아무나,30분 이내,비엔나소시지>식용유>,"먼저 비엔나를 준비해 주시고요 ~ >모양낸 후 살짝만 구워 줄 거라
끓는 물에 살짝 데쳐주세요>끓는 물에서 퐁당 담갔다 재빨리 건져주세요 너무 익으면 색도 변하고 터질 수 있으니 살짝만 데쳐주기>하트소시지, 하트비엔나 만들기 비엔나에 모양을 내줄건데요 ~>소시지는 칼로 사선으로 잘라주시구요>사선으로 잘라진 소시지는 이렇게 붙여놓으면 하트소시지가 된답니다>그리고 이쑤시개로 꽂아주면 흐트러짐없는 하트 비엔나 완성!>팬에 식용유를 살짝 두르고 노릇하게 구워주시면 된답니다>이렇게 완성된 하트비엔나는 도시락 메뉴로도 좋구요 간단하게 집들이 음식으로 내놓아도 좋을 거 같아요>"
엥 이거 완전 꿀조합 아니냐.. 오레오 치즈케이크 만들기!,https://recipe1.ezmember.co.kr/cache/recipe/2017/07/25/c5f49dfaeef1cf94651d7eef222cb5b71.png,아무나,5분 이내,오레오>크림치즈>설탕>달걀>우유>,"오레오를 믹서로 가볍게 부수어 3분의 2를 케이크 틀에 넣는다.>상온에 둔 크림치즈를 믹서에 넣고, 설탕, 계란, 우유와 함께 질퍽해질 때까지 섞는다.>1위에 2를 넣고 마지막에 나머지 오레오를 얹는다.>오븐 180도에서 30분 구워 색이 들면 OK.오븐>v열기가 사라진 후 냉장고에 하룻밤 두면 완성입니다 ♪>"
쫄깃한 떡에 베이컨을 말아줘~! (제발) 에어프라이어 베떡베떡 ★ ,https://recipe1.ezmember.co.kr/cache/recipe/2019/09/03/59622b4e2801fcd619af661c2e793e3c1.jpg,아무나,20분 이내,떡볶이떡>베이컨>고추장>올리고당>다진>케첩>간장>물>,베이컨은 2등분한다.>끓는 물에 떡볶이떡을 넣고 30초간 데친다.>베이컨 위에 떡볶이떡을 올리고 돌돌 만 뒤 꼬치에 3개씩 꽂는다.>에어프라이어에 베이컨떡꼬치를 넣고 180도에서 8분간 익힌다.에어프라이어>팬에 소스 재료를 넣고 한소끔 약불로 끓인 후 베이컨떡꼬치에 발라 완성한다.취향에 따라 머스터드소스나 다진 땅콩을 뿌려주세요. >
대패삼겹살을 넣은 두부김치만들기,https://recipe1.ezmember.co.kr/cache/recipe/2016/02/22/002db8930e7a12052bf0b91db9a1c7591.jpg,아무나,30분 이내,대패삼겹살>김치>양파>두부>다진마늘>소면>고추장>고춧가루>진간장>설탕>생강가루>올리고당>,"양파, 김치, 대패삼겹살을 준비해줍시다.
고기가 들어가야 맛난디 얇은 대패삽겹살이 익히기도 좋고 김치랑 식감이 잘어울립니다요 ^^
김치는 속만 털어 준비하시고요.>잘게 썬 김치와 고기를 바울에 넣고
다진마늘 1아빠숟가락과 양파 1개도 같이 넣어줍니다.>이제 요기에 양념을 할껀디요 ~~
고추장, 고춧가루, 설탕, 생강가루를 사진의 분량대로 넣어줍니다.>올리고당 1아빠숟가락과 진간장 1아빠숟가락도 넣고
조물조물 무쳐주시와유..
김치가 짠 분들은 간장은 생략!!
올리고당 대신 매실액 2아빠숟가락 넣어도 맛나유 ^^>이제 달궈진 팬에 조물락거린 두부김치 재료를 넣고 볶아줍시다.>동영상은 소리좀 들으시라고 ㅎㅎㅎ
지글지글 맛난 소리 잘 들리시쥬??
냄새는 안나나유?
아주 새콤달콤한 맛난 냄새가 온 집안에 막 퍼지네유 ^^>지글지글 볶아지는 동안 
솥에 두부를 넣고 물을 부으시고 끓여주시와요.
따근한 두부 맛나잖아유 ^^
동시에 같이 진행해야 시간 절약 되시는거 알쥬??>소면을 삶을때는
두부 데친 물에 바로 삶으면 시간도 물도 절약됩니다요.
소면 삶는법 다들 아시쥬??
끓는 물에 소면 넣고 투명해질때가지 끓이다 건져 찬물에 헹군뒤
참기름 살짜기 넣고 버무려놓음 서로 붙지 않습니다요 ^^>데친 두부를 썰고 아까 볶은 김치와 같이
이쁜 그릇에 담아 내놓음 
요로코롬 맛나고 푸짐한 두부김치가 완성됩니당 ^^>아까 삶아놓은 소면도 곁들이시와유.
루비씨는 소먄을 따로 그릇에 담아내왔네요.
같이 넣고 비벼도 되지만 소면이 퍼지니 두부김치랑 따로 즐기는게 더 좋더라고용.>따끈하게 데친 두부와 잘 볶아진 맛난 김치와 고기를 올리고
한입!!
아~~
해보세유 ㅎㅎㅎ>소면도 먹을만큼만 덜어 양념과 같이 비벼먹음 최고 !!!
정말 맛있어서 후루룩~~~
금새 뚝딱입니다요. ㅎㅎ>윤기 좔좔 정말 먹음직스럽쥬??
매콤달콤한 김치와 야들야들한 고기,
따끈한 두부가 너무 조화로운 두부김치!!!
오늘저녘 두부김치 한상 올려보시와요.
저렴한 재료비로 양도 푸짐하고
아그들도 어른들도 모두 만족하는 맛나고 근사한 요리입니다.
남은 양념에 밥볶아 먹음 끝내주는거 알쥬???>"
초간단 간식 꿀떡볶이!아이들 간식으로도 굿!,https://recipe1.ezmember.co.kr/cache/recipe/2019/02/22/ee9aac35a5b2ca6a9e6c6ae418efd0181.jpg,아무나,10분 이내,떡>버터>꿀>으깬땅콩>,"먼저 달궈진 팬에 기름을 두르고 떡을 노릇노릇 구워 줍니다.너무 오래 구우면 떡이 딱딱해지니 겉면이 노릇해질까지만 구워 주세요.>떡이 잘 구워졌으면 버터를 넣고 녹여서 잘 볶아주세요.>그 다음 꿀을 넣어주시면 되는데 본인 기호에 맞게 꿀을 조절하셔서 잘 섞어주심 완성!!!>그냥 저 상태로 드셔도 맛있구요.으깬 땅콩을 넣어주시면
고소함이 두배가 된답니다^^>고소하고 달콤한 꿀떡볶이 완성입니다.>한입 먹어보니 바삭바삭하면서 달콤하니 너무 맛있는데요.매운맛 떡볶이 고집하는 저의 입맛에도 너무 맛있게 느껴지더라구요.평소 매운맛을 싫어하시는 분이나 매운것 잘 못먹는 아이들 간식으로 정말 좋은것 같아요.>"
"노오븐 브라우니 만들기 (따뜻한 겨울 간식,초간단)",https://recipe1.ezmember.co.kr/cache/recipe/2019/01/21/8e0cdedbf2f895c9aa65929682dbb0851.jpg,초급,5분 이내,밀가루>설탕>코코아파우더>식용유>우유>슈가파우더>,"컵에 준비한 밀가루를 넣어주세요
(체를 쳐서 넣으면 더 섞기가 쉬워요^^)>준비 된 설탕도 넣습니다
(단걸 좋아하신다면 원래 레시피에서 설탕 2~3스푼정도를 추가하셔도 될것 같아요!!)>코코아파우더나 제티 (핫초코 가루)도 2스푼 넣어주세요 
(밀가루와 마찬가지로 체를 치면 더 편하겠죠?)>이제 식용유를 2스푼 넣습니다
(녹인버터를 사용하셔도 되요!!)>준비된 우유를 넣고 잘 섞어주세요>이제 전자레인지에 넣고 1분간 돌린 후, 10초씩 3번 돌려주세요 (총 1분 30초)전자레인지>마지막으로 데코용 슈가파우더를 뿌려주시면 완성입니다!! 슈가파우더는 꼭 뿌리지 않으셔도 되요^^>맛있게 드시면 됩니다♥ 따뜻할때 우유랑 드시면 정말 맛있어요~>"
[간단 자취요리] 화끈하게 매운 불참치장 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2017/10/10/2cedd6fc68c67720910cdce0aff740db1.jpg,아무나,10분 이내,참치캔(100g)>대파>양파>청양고추(취향에따라)>고춧가루>마늘>고추장>설탕>된장>물>,"양파에 칼집을 넣고 썰어주세요.>대파도 칼집을 넣고 썰어주세요.>청양고추도 칼집을 넣고 썰어주세요.>기름을 두르고 다진마늘, 고춧가루를 약불에서 볶아주세요.>다진 양파, 기름뺀 참치를 넣고 볶아줍니다.중불>된장, 고추장, 설탕, 물을 넣고 볶아주세요.>마지막에 대파도 넣어 섞어줍니다.>"
고추장참치볶음 + 케일쌈밥까지 - 도시락메뉴,https://recipe1.ezmember.co.kr/cache/recipe/2015/11/14/e5377c89c81b96339d9ce31f7914f4421.jpg,아무나,30분 이내,캔참치>대파>애호박>당근>양파>케일>고추장>고추가루>올리고당>통깨>,"대파, 애호박,당근,양파는 잘게 다져주세요(냉장고 속 자투리 채소를 이용해주세요)>기름을 살짝 두른 팬에 딱딱한 재료인 당근과 양파먼저 볶아주세요>양파가 투명해지면 애호박, 다진대파를 넣어주시고 통조림 안에 있는 기름을 살짝 버린 후 참치도 모두 넣어주세요(굳이 참치의 기름을 쫘-악 제거 할 필요는 없어요)>모든 재료를 넣고 볶아주다가 고추장을 넣고 1차로 볶아줍니다>고추가루와 올리고당을 넣고 재료에서 나온 수분으로 인한 질척거림이 없을정도로 중불에 볶아주세요>질척임이 없을정도로 볶아졌으면 통깨를 으깨서 넣어주시면 완성입니다>이렇게 만들어놓으면 여러가지 유용하게 사용할 수 있어서 좋아요>아무것도 없이 밥이랑만 먹어도 맛있고 주먹밥 속재료로 넣어도 좋아요>끓는물에 소금을 넣고 케일잎을 살짝 데쳐 찬물에 헹궈 꼭 짜낸 후 뒷면에 밥과 고추장참치볶음을 조금 올려 양쪽을 잘 옹그려서 예쁘게 싸주시면 도시락메뉴로도 너무 좋아요>"
"고소함 가득, 아망디오 쇼콜라",https://recipe1.ezmember.co.kr/cache/recipe/2020/01/27/3d365ffcfe66bd1badb4ac592eca125d1.jpg,아무나,90분 이내,실온>슈가>실온>바닐라>박력분>코코아>아몬드>,"버터를 부드럽게 풀어준 후, 슈가 파우더를 넣고 잘 섞어 주세요>달걀 노른자와 바닐라 익스트랙트를 넣고 잘 섞어 주세요>박력분과 코코아 파우더를 체 쳐서 넣고 가르듯이 섞어 주세요>아몬드 슬라이스를 넣고 가볍게 섞어 주세요>반죽이 한 덩이가 되도록 치대어 주세요(너무 많이 치대지 말아 주세요)>완성한 반죽을 비스킷 몰드에 넣고 냉동실에서 1시간 굳혀 주세요>냉동실에서 반죽을 꺼낸 후, 1cm 두께로 반죽을 잘라 주세요>테프론 시트를 깐 팬에 놓아 주세요(구울 때 많이 퍼지는 쿠키는 아니예요)>180°C에서 15분 간 구워 주세요(오븐에 따라 시간과 온도는 다를 수 있어요)오븐>팬에 5분 간 그대로 두었다가, 식힘망으로 옮겨 완전히 식혀 주세요>맛있게 드세요!>"
고소한 두부쌈장으로 양배추쌈 싸먹기,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/13/cedc24e587f8c8ce164e68993d8913cc1.jpg,초급,30분 이내,애호박>양파>두부>된장>고추장>쌈장>들기름>,"애호박과 양파는 잘게 다져주시고>들기름1큰술 둘러 팬에 볶아주세요>양파가 투명해지면 물한컵을 붓고>분량의 된장, 고추장, 쌈장을 넣은뒤
다진 두부도 넣어 으깨면서 끓여주세요>국물이 자작해질정도로 끓여내면 완성>"
초코맛! 베이비 슈(홈런볼) 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2018/06/20/5a2bfa80ddac561e192d2473cc2124291.jpg,초급,120분 이내,무염버터>설탕>소금>차가운>박력분>달걀(M)>생크림>다크>,"냄비에 버터, 소금, 설탕, 차가운 물을 넣고 약불과 중불 사이로 불을 켜주세요.>버터가 녹고 끓어오르면 불을 꺼주세요.>박력분을 체에 내려서 넣고 재빨리 섞어주세요.>박력분을 넣고 잘 섞었으면 다시 약불과 중불 사이로 불을 켜고 냄비 바닥에 하얀 막이 생길 때까지 약 50~60초간 볶아주세요.>반죽을 볼에 옮겨 담고 푼 달걀을 조금씩 넣어가며 농도를 조절해주세요.>농도가 부드럽게 되직하면서 떨어뜨렸을 때 주걱에 삼각형 모양으로 붙어있으면 달걀을 그만 넣어주세요.>완성된 반죽은 원형 깍지를 낀 짤주머니에 담아서 사용해주세요.>반죽을 지름 2cm 크기로 짜주세요. 그런 다음 표면에 물을 충분히 뿌리고 뾰족한 부분을 손가락으로 살짝 눌러 정리해주세요.>180℃로 예열한 오븐에 13~15분간 구워주세요.오븐부푸는 중간에 오븐을 열면 부풀지 않을 수 있으니 조심해주세요.>[가나슈] 냄비에 생크림을 넣고 끓기 직전까지만 따뜻하게 데워주세요(가장자리에 기포가 생기면 꺼주세요).>잘게 다진 초콜릿에 데운 생크림을 넣고 잘 섞어주세요.>바로 사용하기에는 농도가 많이 묽으니까 사용하기 좋은 농도가 될 때까지 냉장고에 넣어 식혀주세요.너무 굳혀도 사용하기 어렵습니다!>슈 바닥에 젓가락으로 구멍을 내주세요.>가나슈를 짤주머니에 담아 슈에 천천히 채워주세요.>가나슈를 다 채웠으면 냉장고에 넣어 차갑게 굳힌 후 드세요!>"
매콤 새송이버섯볶음,https://recipe1.ezmember.co.kr/cache/recipe/2019/05/17/f45d69e02a6a34a3746ac37c9574795d1.jpg,초급,30분 이내,새송이버섯>오일>물>고추장>고춧가루>참기름>간장>설탕>다진마늘>,"후라이팬에 오일을 살짝 두른 후 버섯을 올려서 구워줍니다.>반대편도 맛있게 구워줍니다.>버섯을 굽는동안, 양념장을 만들어줍니다.>버섯 위에 양념장을 부어줍니다.>버섯에 양념이 잘 베도록 볶아주면 완성입니다.>"
